,Alcam,Ank1,Ankrd55,B3galt1,Cdh9,Chodl,Cux2,Dlx1,Elfn1,Fam19a2,Fezf2,Foxp2,Gad2,Galnt14,Grin3a,Grm5,Kcnip4,Kcnk2,Kcnmb2,Ldb2,Lhx6,Lingo2,Mef2c,Mpped1,Npas1,Nr2f2,Nts,Parm1,Pcdh8,Pde1a,Prox1,Pvalb,Rorb,Satb2,Sema3e,Sez6,Slc32a1,Sv2c,Syndig1,Thsd7a,Tnni3k,Unc13c,x_um,y_um,z_um
0,2,2,0,2,0,0,3,1,0,1,0,0,13,0,2,2,0,2,1,0,4,0,2,3,0,0,0,0,0,0,0,23,0,0,0,0,27,0,0,0,0,0,497.75795300000004,517.556884,33.056014000000005
1,1,2,0,2,0,0,2,0,1,0,2,0,22,0,7,6,0,0,1,2,2,0,0,3,5,1,0,0,0,0,0,0,0,2,0,5,12,0,0,1,0,1,5704.203589,147.758201,24.351411
2,3,19,1,1,0,0,1,0,0,2,0,1,10,0,2,2,0,0,3,0,5,0,20,3,0,0,0,6,0,1,0,45,0,0,0,0,38,0,0,0,0,0,4219.596675,968.2582779999999,35.664231
3,1,3,0,1,1,0,7,2,7,0,4,0,41,0,21,15,0,2,0,2,2,0,0,11,0,1,1,3,6,8,0,0,0,0,0,8,18,0,1,1,0,4,7336.899204,307.126286,31.163541
4,7,0,0,0,0,0,0,0,1,0,3,0,1,1,2,5,0,2,0,2,1,0,1,0,0,0,0,3,0,9,3,1,0,0,0,16,0,0,0,0,0,0,6749.182295999999,533.863954,30.608790000000003
5,1,3,0,3,0,0,3,1,3,0,0,0,15,1,6,5,0,0,1,1,2,0,0,9,6,3,0,2,0,1,0,0,0,0,1,0,8,0,0,0,0,1,6395.612055,467.466747,36.861714
6,10,10,0,2,0,0,5,0,8,2,1,0,15,2,3,4,0,0,2,0,1,0,2,6,4,0,0,0,4,0,0,9,1,1,0,1,11,0,0,2,0,1,9166.915652,641.6899900000001,38.593894
7,2,8,1,0,2,0,19,8,26,2,0,0,54,1,15,20,0,6,2,0,9,0,18,28,0,4,0,1,15,8,0,0,0,0,0,2,22,0,2,5,0,0,8584.866518,733.995339,39.4403
8,4,11,1,3,1,0,11,2,8,6,0,0,28,0,3,5,0,4,4,2,4,0,1,11,8,1,0,1,0,3,0,1,1,0,0,1,21,0,0,1,0,1,8362.231256000001,747.4074320000001,46.4382
9,0,2,0,0,0,0,8,0,3,0,0,1,12,0,4,8,0,0,0,1,3,0,1,3,1,0,0,1,3,1,3,0,0,1,0,0,5,0,1,2,1,1,8696.737016,821.499942,52.055096
10,16,14,1,6,0,0,9,8,7,11,0,0,59,2,6,13,0,1,2,0,3,0,0,9,8,1,0,1,2,3,0,1,0,2,0,16,65,0,2,2,0,3,9924.292997,1028.932229,52.466877000000004
11,0,9,0,1,1,1,1,1,0,2,0,0,16,3,1,4,0,0,2,0,1,0,1,8,1,1,0,1,2,1,0,1,0,2,0,0,11,0,0,0,0,0,11764.715119,885.1341039999999,54.76786800000001
12,1,2,0,0,2,0,2,2,1,0,0,0,16,1,4,3,0,0,0,0,3,0,1,7,1,0,0,1,0,1,0,0,2,1,0,0,13,0,0,0,0,0,11570.256476,824.743229,59.50370899999999
13,4,8,0,4,0,0,6,0,1,3,1,1,4,1,3,8,0,0,2,0,0,0,2,6,1,0,0,0,0,1,5,4,2,2,0,2,2,0,2,0,0,0,12660.425343,1160.302672,39.128603000000005
14,2,8,0,8,0,0,0,0,0,0,47,1,0,4,1,20,3,2,0,7,1,0,5,3,0,0,0,2,0,11,0,0,2,1,0,43,0,0,5,0,0,0,12524.068366,260.300705,42.658055
15,1,4,0,5,0,0,5,0,1,0,0,0,1,2,1,4,0,0,0,1,2,0,2,0,1,0,0,0,1,0,7,2,1,5,0,0,2,0,0,4,0,0,13217.206359,1226.4191039999998,51.669515999999994
16,0,5,0,0,0,0,1,0,2,1,3,0,3,0,1,6,0,0,0,0,0,0,4,6,0,0,1,0,4,0,0,2,5,1,2,2,5,0,0,1,0,1,13516.263837,892.341317,36.989636
17,1,0,1,0,0,0,3,0,4,1,0,1,6,1,3,4,0,0,2,2,2,0,0,1,3,0,1,0,0,0,1,2,0,3,0,2,8,0,0,0,0,0,15079.377575,1135.921838,29.105051
18,1,4,0,3,0,0,4,1,0,7,0,0,8,0,1,0,0,0,0,1,2,0,6,1,7,0,1,0,3,2,2,1,0,0,0,0,9,0,0,0,0,0,14228.751837,1212.433284,69.638602
19,4,17,0,4,0,0,13,1,18,0,0,0,39,0,13,16,0,0,2,2,12,0,3,13,27,2,0,2,0,3,0,0,0,2,1,0,30,0,0,0,0,3,15264.490418000001,1274.254725,48.718307
20,3,4,4,0,0,14,0,3,0,0,0,0,26,3,15,0,1,3,0,1,9,0,1,10,0,1,0,0,0,17,0,0,0,2,2,1,22,0,2,0,0,0,16195.413984,3687.922071,37.739396
21,0,3,0,4,1,0,0,0,0,0,1,6,0,0,0,8,1,0,1,2,0,0,9,26,0,0,0,0,0,11,1,0,0,2,0,18,0,0,0,0,0,0,16206.618391,3959.837728,35.523532
22,2,1,0,1,0,0,5,0,1,1,0,0,0,2,1,2,0,1,0,2,0,0,5,4,0,0,1,1,0,3,6,1,0,8,0,7,0,0,0,0,0,0,15493.800672,3777.796922,40.98648
23,19,4,0,3,0,1,1,0,2,1,3,1,0,4,3,12,8,5,0,8,0,1,21,17,0,0,1,0,0,10,2,0,0,20,0,18,0,4,0,4,0,0,15038.518608000002,3721.040414,61.160865
24,5,0,0,1,0,0,0,0,0,0,3,2,0,3,0,3,1,1,0,7,0,0,15,9,0,0,0,0,0,7,4,0,2,4,0,24,0,1,0,0,0,0,13362.171996,3902.380681,55.577179
25,3,0,1,0,0,0,4,0,3,0,0,0,1,0,0,5,1,2,0,0,0,0,5,2,0,0,0,2,0,1,9,4,3,5,2,1,0,0,0,0,1,0,13484.213506999999,2535.627736,56.755988
26,8,0,0,3,0,0,0,0,0,0,7,4,0,2,1,11,0,2,0,3,0,0,9,9,0,0,0,0,1,13,0,3,0,6,0,28,0,0,0,0,0,0,13527.280885,3929.155963,60.481747999999996
27,0,1,0,1,0,0,3,0,0,0,4,0,1,1,0,4,0,0,0,0,2,0,10,1,0,0,0,1,1,2,7,0,2,7,0,2,1,0,0,1,0,0,10602.047556,3648.099523,41.651463
28,3,2,0,0,0,0,0,0,0,0,6,2,0,3,0,1,0,1,0,6,0,0,6,17,0,0,0,0,0,13,0,0,0,5,0,22,0,0,0,0,0,0,8627.374867,3875.768453,39.073662
29,7,0,1,3,0,0,0,0,1,0,4,4,0,5,0,5,0,2,0,6,0,0,15,16,0,0,0,0,0,4,0,0,0,5,4,17,0,0,1,0,0,1,7373.97933,3688.401014,46.202301
