cellID,x,y,z,area,layerData,experiment
Cell_1,-2.010158777,-0.538821628,0.00413649,0.00058098,0,MouseVISp_AI
Cell_2,-1.98423674,-0.720637885,0.004227004,0.000483774,0,MouseVISp_AI
Cell_3,-1.725720789,-1.98436468,0.004266059,0.000639757,0,MouseVISp_AI
Cell_4,-2.340062786,-0.630326065,0.004249754,0.000531247,0,MouseVISp_AI
Cell_5,-1.908917654,-0.177810141,0.004256305,0.000567417,0,MouseVISp_AI
Cell_6,-1.197763862,-1.767225467,0.004372841,0.000305184,0,MouseVISp_AI
Cell_7,-0.933897191,-1.47829468,0.004271999,0.000714357,0,MouseVISp_AI
Cell_8,-0.880501396,-1.511032349,0.004332771,0.000327791,0,MouseVISp_AI
Cell_9,-1.767960138,-0.902768936,0.004325404,0.000395609,0,MouseVISp_AI
Cell_10,-2.246605734,-1.449256314,0.004306213,0.000418215,0,MouseVISp_AI
Cell_11,-0.988438825,-1.798325024,0.004315679,0.000386567,0,MouseVISp_AI
Cell_12,-1.142286802,-1.494460953,0.004317857,0.00032553,0,MouseVISp_AI
Cell_13,-1.457136304,-1.593594152,0.00432525,0.000680448,0,MouseVISp_AI
Cell_14,-1.542057703,-1.425718535,0.004297982,0.000368482,0,MouseVISp_AI
Cell_15,-1.236621391,-0.648254883,0.004333646,0.000382045,0,MouseVISp_AI
Cell_16,-1.87189216,-1.059712269,0.004339203,0.00040013,0,MouseVISp_AI
Cell_17,-1.55175984,-1.090062492,0.004288156,0.000497337,0,MouseVISp_AI
Cell_18,-1.957102743,-0.799376298,0.004268699,0.000341354,0,MouseVISp_AI
Cell_19,-1.79684524,-1.121859846,0.00429207,0.000339094,0,MouseVISp_AI
Cell_20,-1.448366966,-0.780620824,0.004356722,0.000750527,0,MouseVISp_AI
Cell_21,-1.763594698,-1.580534764,0.004350637,0.000348136,0,MouseVISp_AI
Cell_22,-1.416322005,-1.872187572,0.004340385,0.000366221,0,MouseVISp_AI
Cell_23,-1.511103982,-2.020543178,0.004288386,0.000375264,0,MouseVISp_AI
Cell_24,-1.640690177,-1.260866512,0.004346852,0.000445343,0,MouseVISp_AI
Cell_25,-1.669952744,-1.280551458,0.004413461,0.000388827,0,MouseVISp_AI
Cell_26,-1.601152841,-1.401713162,0.00431877,0.000259972,0,MouseVISp_AI
Cell_27,-2.243401509,-0.413911629,0.004278114,0.000415955,0,MouseVISp_AI
Cell_28,-1.718232389,-0.168590026,0.004289848,0.000463428,0,MouseVISp_AI
Cell_29,-1.590759536,-1.487596779,0.004241112,0.000558374,0,MouseVISp_AI
Cell_30,-1.199984446,-1.897685213,0.004292675,0.000341354,0,MouseVISp_AI
Cell_31,-2.184032957,-0.441996259,0.004332725,0.000409173,0,MouseVISp_AI
Cell_32,-1.390270372,-1.583735407,0.004295681,0.000411434,0,MouseVISp_AI
Cell_33,-1.712054582,-0.791909684,0.004327705,0.000418215,0,MouseVISp_AI
Cell_34,-1.551980604,-1.828663455,0.004317153,0.000562895,0,MouseVISp_AI
Cell_35,-1.643764084,-1.692164194,0.004257839,0.000696272,0,MouseVISp_AI
Cell_36,-1.858646936,-1.16973701,0.004293791,0.000393349,0,MouseVISp_AI
Cell_37,-0.565569082,-1.461687113,0.004306863,0.000517683,0,MouseVISp_AI
Cell_38,-1.722041568,-1.221097953,0.004341452,0.000350397,0,MouseVISp_AI
Cell_39,-1.071525156,-1.529401986,0.004347283,0.000305184,0,MouseVISp_AI
Cell_40,-1.052611287,-1.645384174,0.004295414,0.000540289,0,MouseVISp_AI
Cell_41,-1.218813948,-1.683095931,0.004223394,0.000282578,0,MouseVISp_AI
Cell_42,-1.75781974,-0.965378081,0.004270577,0.000343615,0,MouseVISp_AI
Cell_43,-1.016486041,-1.759532208,0.004245543,0.000513162,0,MouseVISp_AI
Cell_44,-1.685644885,-0.702573152,0.004277776,0.000307445,0,MouseVISp_AI
Cell_45,-1.597608842,-0.892906839,0.004302326,0.000339094,0,MouseVISp_AI
Cell_46,-1.655091455,-1.32531311,0.004324005,0.000327791,0,MouseVISp_AI
Cell_47,-1.892265893,-0.52861941,0.004252604,0.000307445,0,MouseVISp_AI
Cell_48,-1.676904942,-1.23120719,0.004261641,0.000284839,0,MouseVISp_AI
Cell_49,-1.821623706,-1.052709091,0.004302985,0.000418215,0,MouseVISp_AI
Cell_50,-2.154479137,-0.501608754,0.00427816,0.000237366,0,MouseVISp_AI
Cell_51,-1.241434524,-1.482427667,0.004253189,0.000547071,0,MouseVISp_AI
Cell_52,-1.30560658,-0.664418058,0.004213475,0.000429519,0,MouseVISp_AI
Cell_53,-1.222578691,-1.101355045,0.004158364,0.000357179,0,MouseVISp_AI
Cell_54,-1.707732834,-1.925058233,0.004265658,0.000424997,0,MouseVISp_AI
Cell_55,-2.188564578,-1.249633372,0.00423952,0.00065332,0,MouseVISp_AI
Cell_56,-1.333648508,-0.597014309,0.004335508,0.000490555,0,MouseVISp_AI
Cell_57,-1.754539513,-1.907115253,0.004302914,0.000560635,0,MouseVISp_AI
Cell_58,-1.325689321,-1.367662654,0.004297086,0.000259972,0,MouseVISp_AI
Cell_59,-1.0562471,-1.299231028,0.004260355,0.000510901,0,MouseVISp_AI
Cell_60,-2.066872166,-0.546621822,0.004330728,0.000415955,0,MouseVISp_AI
Cell_61,-1.756371589,-1.787086955,0.004303896,0.000298402,0,MouseVISp_AI
Cell_62,-1.564434835,-1.444462139,0.004253295,0.000343615,0,MouseVISp_AI
Cell_63,-1.328568953,-1.585498801,0.004286309,0.0004363,0,MouseVISp_AI
Cell_64,-1.370399281,-1.30240617,0.004301861,0.000352657,0,MouseVISp_AI
Cell_65,-1.329194674,-1.708606366,0.004302352,0.000259972,0,MouseVISp_AI
Cell_66,-1.23135237,-1.747220722,0.004312276,0.000302924,0,MouseVISp_AI
Cell_67,-1.867186764,-1.238129101,0.004419904,0.000341354,0,MouseVISp_AI
Cell_68,-0.960632826,-1.440562803,0.004310861,0.000696272,0,MouseVISp_AI
Cell_69,-1.560571645,-0.602262315,0.004318823,0.000404652,0,MouseVISp_AI
Cell_70,-1.695144821,-0.294227161,0.004377544,0.000275796,0,MouseVISp_AI
Cell_71,-1.289987582,-1.500981639,0.004330779,0.000237366,0,MouseVISp_AI
Cell_72,-1.332022811,-1.833009879,0.004344856,0.000291621,0,MouseVISp_AI
Cell_73,-1.374502422,-1.362070106,0.004293944,0.000228323,0,MouseVISp_AI
Cell_74,-1.300789058,-1.603346362,0.004345707,0.00025319,0,MouseVISp_AI
Cell_75,-1.552345111,-1.896519027,0.004298278,0.000714357,0,MouseVISp_AI
Cell_76,-1.946307816,-0.637278537,0.004281157,0.000402391,0,MouseVISp_AI
Cell_77,-0.759879627,-1.642869752,0.004215289,0.000443082,0,MouseVISp_AI
Cell_78,-2.009618393,-0.819581731,0.004186095,0.000368482,0,MouseVISp_AI
Cell_79,-0.852865447,-1.667632351,0.004313064,0.000553853,0,MouseVISp_AI
Cell_80,-1.727821226,-0.342594307,0.004327738,0.000391088,0,MouseVISp_AI
Cell_81,-2.121103391,-0.5555287,0.004254156,0.000422737,0,MouseVISp_AI
Cell_82,-2.019270686,-0.741483502,0.004201613,0.000237366,0,MouseVISp_AI
Cell_83,-1.933265312,-0.308909878,0.004215818,0.000409173,0,MouseVISp_AI
Cell_84,-1.400573634,-1.622302117,0.004209103,0.00043404,0,MouseVISp_AI
Cell_85,-1.84293307,-0.483236039,0.004230433,0.000264493,0,MouseVISp_AI
Cell_86,-1.74474529,-0.504033425,0.004258669,0.000250929,0,MouseVISp_AI
Cell_87,-2.52225318,-0.528791684,0.004244331,0.000352657,0,MouseVISp_AI
Cell_88,-2.093444781,-0.673220303,0.004249074,0.000269014,0,MouseVISp_AI
Cell_89,-1.146731008,-1.706771415,0.004324961,0.00021702,0,MouseVISp_AI
Cell_90,-1.353977662,-1.812249244,0.004385934,0.000259972,0,MouseVISp_AI
Cell_91,-1.661759752,-0.52767715,0.004357275,0.000375264,0,MouseVISp_AI
Cell_92,-0.864638913,-1.598088636,0.004255374,0.000339094,0,MouseVISp_AI
Cell_93,-1.282905081,-1.57502321,0.00423686,0.000287099,0,MouseVISp_AI
Cell_94,-1.392015845,-0.880589169,0.004379897,0.000691751,0,MouseVISp_AI
Cell_95,-1.309558192,-1.538097025,0.004384396,0.000377524,0,MouseVISp_AI
Cell_96,-1.797732076,-0.423970912,0.004375531,0.000330051,0,MouseVISp_AI
Cell_97,-1.415493772,-1.829097326,0.004319281,0.000560635,0,MouseVISp_AI
Cell_98,-1.779405192,-1.065454756,0.004330776,0.000657842,0,MouseVISp_AI
Cell_99,-2.165593972,-0.392332907,0.004333904,0.00028936,0,MouseVISp_AI
Cell_100,-1.140031607,-1.58759518,0.004293448,0.000357179,0,MouseVISp_AI
Cell_101,-1.696868919,-1.191864739,0.00424422,0.000411434,0,MouseVISp_AI
Cell_102,-1.823452418,-0.550617508,0.004288823,0.000323269,0,MouseVISp_AI
Cell_103,-1.730516162,-1.80806717,0.004277468,0.000590023,0,MouseVISp_AI
Cell_104,-1.833236959,-0.728445828,0.004283631,0.000438561,0,MouseVISp_AI
Cell_105,-1.772079987,-1.462358802,0.004293737,0.000669145,0,MouseVISp_AI
Cell_106,-2.017725484,-0.996847988,0.004347795,0.00025319,0,MouseVISp_AI
Cell_107,-2.098588658,-1.031272953,0.004348618,0.000673666,0,MouseVISp_AI
Cell_108,-1.269794552,-1.533600438,0.004323726,0.000501859,0,MouseVISp_AI
Cell_109,-1.850766706,-1.759635704,0.004361621,0.000210238,0,MouseVISp_AI
Cell_110,-2.034898666,-0.288303755,0.004295474,0.000411434,0,MouseVISp_AI
Cell_111,-2.150761802,-0.3707443,0.004305206,0.000330051,0,MouseVISp_AI
Cell_112,-1.752567183,-1.507144591,0.004356309,0.000300663,0,MouseVISp_AI
Cell_113,-2.395763898,-0.805095323,0.004435063,0.000280317,0,MouseVISp_AI
Cell_114,-1.356562795,-1.774766032,0.00436732,0.000483774,0,MouseVISp_AI
Cell_115,-1.607657027,-0.423279734,0.00428965,0.000248669,0,MouseVISp_AI
Cell_116,-1.680836231,-1.112801828,0.004264647,0.000201196,0,MouseVISp_AI
Cell_117,-2.01078608,-0.868623999,0.004296237,0.0003617,0,MouseVISp_AI
Cell_118,-1.954365214,-0.670467261,0.004324102,0.000287099,0,MouseVISp_AI
Cell_119,-2.002179274,-1.572080458,0.004321463,0.000461167,0,MouseVISp_AI
Cell_120,-1.798104405,-1.260836604,0.004279385,0.000513162,0,MouseVISp_AI
Cell_121,-2.05392159,-1.676899127,0.004245682,0.000393349,0,MouseVISp_AI
Cell_122,-2.186247777,-0.623892336,0.004281552,0.00040013,0,MouseVISp_AI
Cell_123,-0.568036256,-1.600202231,0.004290239,0.000323269,0,MouseVISp_AI
Cell_124,-2.526587455,-0.643171367,0.004254535,0.000406912,0,MouseVISp_AI
Cell_125,-1.79959542,-1.428206638,0.00423028,0.000339094,0,MouseVISp_AI
Cell_126,-2.604685984,-0.549221796,0.004229161,0.000284839,0,MouseVISp_AI
Cell_127,-1.47900081,-1.667558084,0.004305475,0.000271275,0,MouseVISp_AI
Cell_128,-1.082638577,-1.793124814,0.004288657,0.000244147,0,MouseVISp_AI
Cell_129,-1.375920501,-1.22281317,0.004264408,0.000275796,0,MouseVISp_AI
Cell_130,-2.409852961,-1.17207693,0.00420895,0.000406912,0,MouseVISp_AI
Cell_131,-1.707692489,-1.446608552,0.004217399,0.000811564,0,MouseVISp_AI
Cell_132,-1.561454552,-0.393941377,0.004223667,0.000556114,0,MouseVISp_AI
Cell_133,-1.338848074,-1.107706087,0.004270439,0.000420476,0,MouseVISp_AI
Cell_134,-1.430111974,-1.35072525,0.004251217,0.000345875,0,MouseVISp_AI
Cell_135,-1.184307132,-1.654112109,0.004298575,0.000248669,0,MouseVISp_AI
Cell_136,-1.556855971,-0.259925832,0.004290539,0.000246408,0,MouseVISp_AI
Cell_137,-2.150073635,-0.86073957,0.004272579,0.000373003,0,MouseVISp_AI
Cell_138,-1.946641343,-0.719996818,0.0043552,0.000479252,0,MouseVISp_AI
Cell_139,-1.572412636,-0.893019347,0.00429111,0.000350397,0,MouseVISp_AI
Cell_140,-1.12930376,-1.794163837,0.004359508,0.000291621,0,MouseVISp_AI
Cell_141,-1.93757554,-1.420680534,0.004294148,0.000739224,0,MouseVISp_AI
Cell_142,-2.011375244,-1.869707556,0.004341168,0.000230584,0,MouseVISp_AI
Cell_143,-1.504925349,-0.270150303,0.004315807,0.000569677,0,MouseVISp_AI
Cell_144,-1.25855509,-1.6267534,0.004394884,0.00021702,0,MouseVISp_AI
Cell_145,-1.977343829,-0.986249316,0.004322312,0.000402391,0,MouseVISp_AI
Cell_146,-1.978445873,-1.714519225,0.004382088,0.000221541,0,MouseVISp_AI
Cell_147,-1.408477438,-1.703986133,0.004400226,0.000449864,0,MouseVISp_AI
Cell_148,-1.182811846,-1.163022599,0.004306021,0.000476992,0,MouseVISp_AI
Cell_149,-1.305030979,-1.866725416,0.004311495,0.000531247,0,MouseVISp_AI
Cell_150,-2.282953733,-1.309345331,0.004309734,0.000524465,0,MouseVISp_AI
Cell_151,-1.372741001,-0.921307917,0.004366442,0.000393349,0,MouseVISp_AI
Cell_152,-2.211128954,-0.903725635,0.004310979,0.000339094,0,MouseVISp_AI
Cell_153,-2.066575732,-0.487538099,0.004318865,0.000239626,0,MouseVISp_AI
Cell_154,-1.266638373,-1.829768727,0.004322033,0.000212499,0,MouseVISp_AI
Cell_155,-2.132931404,-1.492114673,0.004314401,0.000332312,0,MouseVISp_AI
Cell_156,-1.57879213,-1.322017712,0.004350148,0.000244147,0,MouseVISp_AI
Cell_157,-2.13605005,-0.514758217,0.004378894,0.000207977,0,MouseVISp_AI
Cell_158,-1.699125433,-1.51504149,0.004353003,0.000311966,0,MouseVISp_AI
Cell_159,-1.813330452,-0.474741859,0.004344849,0.000327791,0,MouseVISp_AI
Cell_160,-1.427944719,-0.202796413,0.004360123,0.000282578,0,MouseVISp_AI
Cell_161,-1.536203068,-0.871718181,0.004361066,0.000393349,0,MouseVISp_AI
Cell_162,-1.532549143,-1.616622789,0.004316802,0.000305184,0,MouseVISp_AI
Cell_163,-1.029878049,-1.623255021,0.004372754,0.000334572,0,MouseVISp_AI
Cell_164,-1.300916825,-0.617822436,0.004322573,0.000587762,0,MouseVISp_AI
Cell_165,-1.203313281,-1.859818238,0.004353419,0.000221541,0,MouseVISp_AI
Cell_166,-2.103355318,-0.340107063,0.004465071,0.000334572,0,MouseVISp_AI
Cell_167,-1.396018825,-1.147495597,0.004304426,0.000411434,0,MouseVISp_AI
Cell_168,-1.376136439,-1.269386916,0.004281097,0.00039787,0,MouseVISp_AI
Cell_169,-1.588984906,-0.793472201,0.00429117,0.000309706,0,MouseVISp_AI
Cell_170,-1.639273478,-1.183311935,0.004267851,0.000223802,0,MouseVISp_AI
Cell_171,-1.758320902,-1.350034279,0.004251846,0.000415955,0,MouseVISp_AI
Cell_172,-2.019949329,-1.542502236,0.004255701,0.000605847,0,MouseVISp_AI
Cell_173,-2.049488431,-1.418663888,0.004295671,0.000531247,0,MouseVISp_AI
Cell_174,-1.878917491,-0.350825191,0.004245815,0.000257711,0,MouseVISp_AI
Cell_175,-1.014204459,-1.369510629,0.004245511,0.000307445,0,MouseVISp_AI
Cell_176,-1.984573647,-0.478163195,0.004325609,0.000323269,0,MouseVISp_AI
Cell_177,-2.193240806,-1.398762524,0.004325076,0.000287099,0,MouseVISp_AI
Cell_178,-1.764448553,-1.303065497,0.004330261,0.000228323,0,MouseVISp_AI
Cell_179,-1.670917518,-1.740375978,0.004325756,0.000327791,0,MouseVISp_AI
Cell_180,-1.886614898,-1.027365635,0.004307036,0.000278057,0,MouseVISp_AI
Cell_181,-1.83514733,-1.123415569,0.004283112,0.000813825,0,MouseVISp_AI
Cell_182,-1.929615129,-1.84470914,0.004194605,0.000282578,0,MouseVISp_AI
Cell_183,-0.986240293,-1.839314895,0.004265948,0.000275796,0,MouseVISp_AI
Cell_184,-0.928020117,-1.676586264,0.004202826,0.000357179,0,MouseVISp_AI
Cell_185,-2.067060846,-1.323934007,0.004239665,0.000271275,0,MouseVISp_AI
Cell_186,-1.37546401,-0.577308967,0.00433682,0.000411434,0,MouseVISp_AI
Cell_187,-2.359314489,-1.134802047,0.004363896,0.000452125,0,MouseVISp_AI
Cell_188,-1.145845795,-1.40105006,0.004315727,0.000635235,0,MouseVISp_AI
Cell_189,-1.485778027,-0.915877345,0.004273595,0.000447604,0,MouseVISp_AI
Cell_190,-1.16916806,-1.891386019,0.004339589,0.000214759,0,MouseVISp_AI
Cell_191,-1.520843772,-0.434679203,0.004298315,0.000429519,0,MouseVISp_AI
Cell_192,-2.012108711,-1.34283017,0.004269762,0.000535768,0,MouseVISp_AI
Cell_193,-1.651654443,-0.191272935,0.004391414,0.000280317,0,MouseVISp_AI
Cell_194,-1.928475337,-0.756509963,0.004311151,0.000296142,0,MouseVISp_AI
Cell_195,-1.665650359,-1.143158532,0.004250796,0.000248669,0,MouseVISp_AI
Cell_196,-2.366904278,-0.86823667,0.004258697,0.0003617,0,MouseVISp_AI
Cell_197,-1.486503677,-1.489698906,0.004260525,0.000203456,0,MouseVISp_AI
