"sample_name","Class_label","Class_id","Class_color","Correlation","DifferenceBetweenTopTwoCorrelations"
"X0","L6 PT",11,"#74CAFF",0.962717448215807,0.260162719694779
"X1","L6 PT",11,"#74CAFF",0.928718721429139,0.127423511943727
"X2","Sst_1",23,"#802600",0.640891854800708,0.112447895713659
"X3","L6b",12,"#336D99",0.699323823211154,0.0830506596564519
"X4","L6 PT",11,"#74CAFF",0.623077780267579,0.00780505725149239
"X5","none",16,NA,0,NA
"X6","Pvalb_2",18,"#ED4C50",0.922788241943605,0.0493768570134427
"X7","L6 PT",11,"#74CAFF",0.962165412252311,0.266418348136586
"X8","L6 PT",11,"#74CAFF",0.96383933714776,0.250762883803082
"X9","L6 PT",11,"#74CAFF",0.766859274651395,0.132278832058879
"X10","Astro",1,"#665C47",0.665510550545095,0.277629691570231
"X11","L6 IT_1",9,"#96E32C",0.799223453603594,0.0152736441323402
"X12","L6 PT",11,"#74CAFF",0.766538453505793,0.0897636001147867
"X13","L6b",12,"#336D99",0.959341357774952,0.198091267508935
"X14","L6 PT",11,"#74CAFF",0.810008772564683,0.0441922237396469
"X15","L6b",12,"#336D99",0.830252319363707,0.0461363054712102
"X16","Sst_1",23,"#802600",0.839587390564778,0.0383094828545476
"X17","L6 IT_1",9,"#96E32C",0.967558330254208,0.115700343979107
"X18","Sst_2",24,"#FFDF11",0.924959723746772,0.102930412410643
"X19","L6 PT",11,"#74CAFF",0.928931055635322,0.190503039106945
"X20","L6 PT",11,"#74CAFF",0.931143230804458,0.187116138145672
"X21","VLMC",32,"#6B8059",0.782987584186262,0.300455001578085
"X22","L6 PT",11,"#74CAFF",0.652632408749966,0.013351261383369
"X23","VLMC",32,"#6B8059",0.670256188030499,0.282957657278445
"X24","L6 IT_1",9,"#96E32C",0.967837315909693,0.175566247930299
"X25","L6 PT",11,"#74CAFF",0.929943111644299,0.24330026983274
"X26","VLMC",32,"#6B8059",0.585350283717805,0.0544049188688104
"X27","L5 PT_1",7,"#0000FF",0.623882852549579,0.022769308003325
"X28","Pvalb_3",19,"#D6221D",0.712282383395838,0.0493621107852308
"X29","L6b",12,"#336D99",0.832810005514499,0.0830521043861854
"X30","VLMC",32,"#6B8059",0.733615741210708,0.0990096943255308
"X31","L6 PT",11,"#74CAFF",0.878989117797266,0.106823257673772
"X32","L6 PT",11,"#74CAFF",0.94974541023353,0.203981225974261
"X33","L6 PT",11,"#74CAFF",0.977534530641126,0.290274703585966
"X34","Astro",1,"#665C47",0.458131965954441,0.0688242947056185
"X35","VLMC",32,"#6B8059",0.677325050792821,0.0391297167666024
"X36","L6 PT",11,"#74CAFF",0.960545184290159,0.250516042678
"X37","L6 PT",11,"#74CAFF",0.923509655900196,0.217396906660042
"X38","L6b",12,"#336D99",0.509840983281874,0.0158766993298499
"X39","L6 IT_2",10,"#5100FF",0.638365328088882,0.0867016203760433
"X40","L5 IT",5,"#00FF00",0.698354435519024,0.163843240171338
"X41","L6b",12,"#336D99",0.779403552197993,0.0817780428906483
"X42","L6 PT",11,"#74CAFF",0.988550307531901,0.313603455314987
"X43","L5 IT",5,"#00FF00",0.744463796092821,0.00159512895713787
"X44","Astro",1,"#665C47",0.708722232458945,0.0431488132436366
"X45","L5 IT",5,"#00FF00",0.713473499523923,0.0644604444193946
"X46","L5 IT",5,"#00FF00",0.887540767774226,0.0548202874715031
"X47","L6 IT_1",9,"#96E32C",0.838711802914443,0.238743437998671
"X48","L5 IT",5,"#00FF00",0.597118853492242,0.0254054517630499
"X49","L6b",12,"#336D99",0.872836253832298,0.242120742806244
"X50","L5 IT",5,"#00FF00",0.70684722859844,0.0456041336794135
"X51","VLMC",32,"#6B8059",0.634068360679163,0.00734797802318232
"X52","L6b",12,"#336D99",0.82550291531209,0.0701386211146484
"X53","L6 PT",11,"#74CAFF",0.976865242078398,0.316959123425813
"X54","L5 IT",5,"#00FF00",0.577530173258564,0.0343169132752472
"X55","Pvalb_2",18,"#ED4C50",0.928507168960748,0.041826453572771
"X56","Pvalb_2",18,"#ED4C50",0.720012423071007,0.0947224391770228
"X57","L6 PT",11,"#74CAFF",0.86492535425076,0.0793924679782758
"X58","L6 PT",11,"#74CAFF",0.877746598339081,0.211533082777382
"X59","L6 PT",11,"#74CAFF",0.923977588921594,0.296649859622267
"X60","L6 PT",11,"#74CAFF",0.685262130371883,0.0269310851768571
"X61","L6b",12,"#336D99",0.822870693173176,0.00113053351351511
"X62","L6 PT",11,"#74CAFF",0.872073821705665,0.328374021244831
"X63","L5 PT_2",8,"#29E043",0.601429382538316,0.145764893469256
"X64","L2/3 IT",3,"#7AE6AB",0.49090112312569,0.107482294197421
"X65","L6 PT",11,"#74CAFF",0.889621039900681,0.245281983552471
"X66","L6 PT",11,"#74CAFF",0.860355737946782,0.0759784933640525
"X67","Sst_3",25,"#BF9F00",0.667744162874715,0.00609401462367565
"X68","L6 PT",11,"#74CAFF",0.878068988677526,0.107938009362914
"X69","L6 PT",11,"#74CAFF",0.708502568695601,0.0573214640982275
"X70","Astro",1,"#665C47",0.604822397332252,0.192603823664279
"X71","L6b",12,"#336D99",0.837150240257362,0.170202937778438
"X72","Pvalb_2",18,"#ED4C50",0.930752846156243,0.067538502825323
