"cellID","x","y","z","area","layerData","experiment"
"Cell_0",-1.59391557849063,-0.86313429935313,0,0.001016,0,"smFISHv"
"Cell_1",-1.76198880065563,-0.709718829516052,0,0.000852,0,"smFISHv"
"Cell_2",-0.990573300390785,-0.83619767600454,0,0.001096,0,"smFISHv"
"Cell_3",-1.69227233700756,-0.711398323834122,0,0.000164,0,"smFISHv"
"Cell_4",-1.12509153472839,-0.789091551816518,0,0.000224,0,"smFISHv"
"Cell_5",-1.78915328049757,-0.348886330556946,0,0.000148,0,"smFISHv"
"Cell_6",-1.05985537049981,-0.852492934473472,0,0.001908,0,"smFISHv"
"Cell_7",-1.68682342954212,-0.883194150233303,0,0.000792,0,"smFISHv"
"Cell_8",-1.62131736918435,-0.801152622203591,0,0.00046,0,"smFISHv"
"Cell_9",-1.04071125772058,-0.871587856287465,0,0.000344,0,"smFISHv"
"Cell_10",-1.61822777054561,-0.622456148643894,0,0.000264,0,"smFISHv"
"Cell_11",-1.08585141272048,-0.827993550657542,0,0.001992,0,"smFISHv"
"Cell_12",-1.53107682117625,-0.870879838138821,0,0.000448,0,"smFISHv"
"Cell_13",-1.48756207943403,-0.840523095215978,0,0.002164,0,"smFISHv"
"Cell_14",-1.74049112491784,-0.759537821184386,0,0.000704,0,"smFISHv"
"Cell_15",-1.08789421749979,-0.805751082315409,0,0.001516,0,"smFISHv"
"Cell_16",-1.75621864206594,-0.888888935243045,0,0.00134,0,"smFISHv"
"Cell_17",-1.68674833264,-0.783615224990883,0,0.000856,0,"smFISHv"
"Cell_18",-1.56393377225081,-0.855990231118914,0,0.001676,0,"smFISHv"
"Cell_19",-1.79034948145203,-0.768092718635881,0,0.001416,0,"smFISHv"
"Cell_20",-1.71795364174809,-0.76501692005482,0,0.001024,0,"smFISHv"
"Cell_21",-1.75699581624632,-0.457758911467816,0,0.000152,0,"smFISHv"
"Cell_22",-1.11436301705577,-0.750469280459481,0,0.000208,0,"smFISHv"
"Cell_23",-1.4665516769147,-0.826653794006151,0,0.000264,0,"smFISHv"
"Cell_24",-1.65200554114786,-0.784527831620077,0,0.000468,0,"smFISHv"
